Date : 2025-08-15 18:12:39
Directory : c:\Users\VICTUS\Documents\Better Studocu\StudyShare
Total : 77 files,  10986 codes, 58 comments, 661 blanks, all 11705 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |      6,677 |          5 |         11 |      6,693 |
| TypeScript JSX     |         24 |      2,642 |         31 |        308 |      2,981 |
| JavaScript         |         26 |      1,032 |         17 |        243 |      1,292 |
| TypeScript         |         13 |        424 |          5 |         55 |        484 |
| PostCSS            |          1 |         96 |          0 |         22 |        118 |
| Markdown           |          1 |         58 |          0 |         12 |         70 |
| MS SQL             |          1 |         18 |          0 |          2 |         20 |
| Properties         |          1 |         17 |          0 |          6 |         23 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         77 |     10,986 |         58 |        661 |     11,705 |
| backend                                                                                                               |         27 |      2,723 |         17 |        243 |      2,983 |
| backend (Files)                                                                                                       |          3 |      1,738 |          0 |          8 |      1,746 |
| backend\config                                                                                                        |          2 |         21 |          0 |          8 |         29 |
| backend\constants                                                                                                     |          1 |         10 |          0 |          2 |         12 |
| backend\controllers                                                                                                   |          5 |        267 |          1 |         44 |        312 |
| backend\middleware                                                                                                    |          1 |         23 |          0 |          7 |         30 |
| backend\models                                                                                                        |          5 |        434 |          9 |        111 |        554 |
| backend\routes                                                                                                        |          5 |         46 |          0 |         17 |         63 |
| backend\services                                                                                                      |          3 |        130 |          5 |         36 |        171 |
| backend\utils                                                                                                         |          2 |         54 |          2 |         10 |         66 |
| database                                                                                                              |          1 |         18 |          0 |          2 |         20 |
| frontend                                                                                                              |         49 |      8,245 |         41 |        416 |      8,702 |
| frontend (Files)                                                                                                      |         11 |      5,117 |          7 |         34 |      5,158 |
| frontend\public                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| frontend\src                                                                                                          |         37 |      3,127 |         34 |        382 |      3,543 |
| frontend\src (Files)                                                                                                  |          3 |         64 |          3 |         12 |         79 |
| frontend\src\assets                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| frontend\src\components                                                                                               |          7 |        392 |          4 |         51 |        447 |
| frontend\src\components\common                                                                                        |          3 |        118 |          0 |         17 |        135 |
| frontend\src\components\layout                                                                                        |          4 |        274 |          4 |         34 |        312 |
| frontend\src\interfaces                                                                                               |          2 |         72 |          0 |          8 |         80 |
| frontend\src\pages                                                                                                    |         15 |      2,186 |         25 |        246 |      2,457 |
| frontend\src\pages\AccountSettingPage                                                                                 |          3 |        353 |          2 |         32 |        387 |
| frontend\src\pages\AccountSettingPage (Files)                                                                         |          1 |         91 |          2 |          5 |         98 |
| frontend\src\pages\AccountSettingPage\components                                                                      |          2 |        262 |          0 |         27 |        289 |
| frontend\src\pages\CreateLessonPage                                                                                   |          1 |        115 |          0 |         12 |        127 |
| frontend\src\pages\LessonViewPage                                                                                     |          1 |         66 |          0 |         13 |         79 |
| frontend\src\pages\LoginPage                                                                                          |          1 |        145 |          9 |         17 |        171 |
| frontend\src\pages\MaterialViewPage                                                                                   |          3 |        687 |         13 |         69 |        769 |
| frontend\src\pages\MaterialViewPage (Files)                                                                           |          1 |        583 |         13 |         56 |        652 |
| frontend\src\pages\MaterialViewPage\components                                                                        |          2 |        104 |          0 |         13 |        117 |
